Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0239369,52.11272,68.54977,73.51313,31.164,31.076
1,1,73.51413,146.687,161.2657,163.8988,10.291,9.993
2,2,163.8988,198.254,244.9467,260.8043,24.474,21.71
3,3,260.8043,273.2102,298.4446,300.2548,30.15,29.945
4,4,300.2558,335.4663,356.8893,360.4247,19.87,18.681
5,5,360.4356,442.4305,455.986,457.9813,38.827,38.479
6,6,457.9824,523.5369,527.2917,529.1548,21.353,12.265
7,7,529.1548,565.7401,575.6612,577.1715,13.156,2.13
8,8,577.1715,609.3926,621.9495,623.4725,15.539,14.98
9,9,623.4725,645.1194,655.5482,657.7516,28.231,11.97
10,10,657.7526,686.5724,694.1909,701.978,22.758,21.386
11,11,701.978,753.5455,780.5027,782.6581,9.363,4.901
12,12,782.6581,813.8316,831.6602,836.7917,19.729,19.085
13,13,836.7927,874.2281,887.7817,889.3926,20.462,19.807
14,14,889.3937,898.067,906.0306,907.9859,10.101,9.851
15,15,907.9859,937.7693,956.0397,963.0413,17.819,16.529
16,16,963.0413,976.9976,989.8372,991.5206,16.188,2.199
17,17,991.5206,1038.563,1048.285,1050.096,5.427,5.316
18,18,1050.096,1056.644,1068.966,1070.374,5.591,4.783
19,19,1070.374,1092.141,1104.474,1106.248,17.883,6.338
